,Jm1,Jm2,T,Tx,Ty,Tz,h,ju1,ju2,layer,n,p,px,py,pz,up,x*,x1
0,,,,,,,,,,1.0000E+00 5.8810E-01 6.7381E-01 2.7713E-01 2.1052E-01 2.0689E-01 3.1099E-01 1.7236E-01 1.3348E-01 1.0525E-01 1.4741E-01 1.3458E-01 8.1994E-02 1.4241E-01 1.2477E-01 1.4600E-01 1.3557E-01 8.9081E-02 9.4481E-02 7.3807E-02 4.4294E-02 1.3794E-01,,,,,,,,
1,,,,,,,,,,2.0000E+00 1.7640E+00 1.2856E-01 2.8632E-01 2.4731E-01 1.8208E-01 1.1577E-01 1.4796E-01 1.1831E-01 1.3566E-01 1.4216E-01 1.0058E-01 9.7399E-02 8.6327E-02 1.8788E-01 1.7482E-01 1.3256E-01 7.8068E-02 1.2824E-01 7.2229E-02 1.2407E-01 1.1261E-01,,,,,,,,
2,,,,,,,,,,3.0000E+00 2.9410E+00 1.5096E-01 1.6027E-01 1.3883E-01 1.4459E-01 1.4910E-01 1.1531E-01 1.2049E-01 1.2425E-01 1.2333E-01 9.9221E-02 9.8267E-02 1.0463E-01 6.4414E-02 1.3081E-01 8.6527E-02 1.0298E-01 9.7031E-02 7.8814E-02 8.7148E-02 8.0029E-02,,,,,,,,
3,,,,,,,,,,4.0000E+00 4.1170E+00 1.3283E-01 9.0549E-02 1.3423E-01 1.6866E-01 1.1714E-01 1.6810E-01 1.2284E-01 1.2197E-01 9.8189E-02 9.3934E-02 1.2404E-01 9.1783E-02 5.8394E-02 7.1577E-02 9.0726E-02 7.4524E-02 9.7095E-02 1.0545E-01 7.7405E-02 7.1530E-02,,,,,,,,
4,,,,,,,,,,5.0000E+00 5.2930E+00 8.6034E-02 7.3790E-02 6.3611E-02 8.5841E-02 9.8939E-02 7.2444E-02 5.4282E-02 1.1686E-01 1.5810E-01 9.9670E-02 6.7718E-02 4.8783E-02 7.4314E-02 7.1683E-02 7.2502E-02 1.2363E-01 1.0201E-01 1.1459E-01 5.4746E-02 7.9303E-02,,,,,,,,
5,,,,,,,,,,6.0000E+00 6.4700E+00 6.0938E-02 8.0709E-02 6.8876E-02 9.8658E-02 6.2918E-02 7.4098E-02 7.4767E-02 7.2852E-02 7.7135E-02 1.3175E-01 7.8226E-02 7.6842E-02 4.8098E-02 6.6989E-02 4.0293E-02 3.9311E-02 1.1918E-01 1.1230E-01 6.0475E-02 6.9324E-02,,,,,,,,
6,,,,,,,,,,7.0000E+00 7.6460E+00 4.6846E-02 1.0994E-01 5.0387E-02 6.0871E-02 7.6189E-02 8.1936E-02 5.9074E-02 7.4124E-02 7.0931E-02 6.2976E-02 4.4601E-02 8.7141E-02 6.9727E-02 6.6253E-02 4.9783E-02 9.0291E-02 7.1252E-02 5.6949E-02 6.1061E-02 7.7763E-02,,,,,,,,
7,,,,,,,,,,8.0000E+00 8.8220E+00 2.0935E-02 7.7503E-02 6.0161E-02 4.3639E-02 4.6209E-02 5.9233E-02 5.8600E-02 7.1243E-02 6.2822E-02 6.7957E-02 3.5374E-02 5.0071E-02 8.6791E-02 5.6597E-02 5.9703E-02 6.3645E-02 6.9131E-02 9.8335E-02 7.0800E-02 5.1407E-02,,,,,,,,
8,,,,,,,,,,9.0000E+00 9.9990E+00 9.6941E-03 7.1823E-02 8.3073E-02 3.6701E-02 5.9944E-02 5.5052E-02 7.0866E-02 5.5727E-02 2.9937E-02 4.5453E-02 4.5093E-02 3.6423E-02 2.9749E-02 4.2288E-02 5.7145E-02 6.8526E-02 4.7057E-02 5.9788E-02 5.9362E-02 7.1092E-02,,,,,,,,
9,,,,,,,,,,1.0000E+01 1.1170E+01 1.2883E-02 5.1859E-02 8.3746E-02 7.5590E-02 1.9649E-02 3.4532E-02 4.1669E-02 5.8226E-02 5.2988E-02 5.5374E-02 3.3456E-02 2.7855E-02 3.1684E-02 3.8568E-02 3.6943E-02 4.7924E-02 4.2243E-02 5.3514E-02 6.6092E-02 4.5319E-02,,,,,,,,
10,,,,,,,,,,1.1000E+01 1.2350E+01 1.2678E-02 2.7488E-02 5.7691E-02 6.6791E-02 2.8140E-02 2.9824E-02 6.8288E-02 6.3198E-02 2.8201E-02 3.0552E-02 4.9374E-02 3.7872E-02 4.5603E-02 4.3911E-02 4.9967E-02 4.6731E-02 5.4852E-02 5.3504E-02 6.6877E-02 6.6892E-02,,,,,,,,
11,,,,,,,,,,1.2000E+01 1.3530E+01 1.0655E-02 2.3388E-02 5.4940E-02 4.5696E-02 5.7290E-02 2.4505E-02 4.3594E-02 3.0166E-02 4.6836E-02 4.7076E-02 3.2875E-02 3.8168E-02 3.6306E-02 2.1167E-02 5.6663E-02 4.7412E-02 5.2490E-02 7.3426E-02 7.3564E-02 5.4138E-02,,,,,,,,
